product_url,url_hash,top_category,sub_category,brand,product_name,price,satisfaction_pct,review_count,wish_count,tags
https://gift.kakao.com/product/11482063,9131c6b7a32f571bd7e2d3996fc566983ff5c043f33b6dc49b74347c60c67e16,유아동/반려,키즈패션,푸마키즈,팔레르모 키즈 170mm - 210mm,75050,,1.0,90.0,
https://gift.kakao.com/product/2526455,7eb4467e6d56e3046917c99f5a2410479961630357b0c8f6ad6402e350d8b6c8,유아동/반려,키즈패션,폴로 랄프 로렌(키즈),여아 2-7세 미니케이블 코튼 카디건 (5 color),159000,,3.0,618.0,#선물포장
https://gift.kakao.com/product/11461834,e4a9ebdc03118610fe1bc8ebd4f97892e0efa48efaeb04776febadad3efdf08e,유아동/반려,키즈패션,블루독,[현대백화점] [블루독8-키즈]PK)BI나시원피스 여아 여름 면스판 스커트 치마 레이어드 조카두돌선물 초등학생 253754..,44160,,,10.0,
https://gift.kakao.com/product/11045726,00256d0d8b844e3209303084460ae599fbdfe00ad3653b2a44fefb878b384bca,유아동/반려,키즈패션,블루독,[현대백화점] [블루독8-키즈] GD)여아글로시하트크로스백 핸드폰가방 보조가방 초등학생 조카세돌선물 2511983151,44160,,,12.0,
https://gift.kakao.com/product/10166029,a9978faf53b2c9dfccfe1cc93cb01d94fc01ce4eec593c38963752658bf910b9,유아동/반려,키즈패션,키즈ACC,"조카 선물세트"" 라푼젤 구두-퍼플 오로라 LED 걸을때마다 반짝반짝 공주님 신발",39900,,,3.0,
https://gift.kakao.com/product/6840482,6738ba5845ebd88e66561094e0db229476377ea0c32a30b497b45ddb680d8235,유아동/반려,키즈패션,오즈키즈,"조카선물/어린이선물"" 오즈키즈 유아 여아 원피스 BEST 14종 (택1)",39900,,1.0,53.0,
https://gift.kakao.com/product/9718309,a1d4ccc5c7d76e74a12a0e99924b4b272eedd2639bcb0dc8a282efcbf5ec560d,유아동/반려,키즈패션,캐릭터패션,"친구 선물추천"" (2024년 신상) 시나모롤 3단 완전자동우산-리본입체핸들 70034",20900,,,34.0,
https://gift.kakao.com/product/11426057,fa5e1ae4cfb2b3e6b306466ee09cb1462926bf29bbde27a67d16b79ad101b2ba,유아동/반려,키즈패션,플레이키즈프로,[현대백화점] 나이키조던베이비 백일선물 바디수트세트+모자+양말 N252UU837P  플레이키즈CH,39000,,,5.0,
https://gift.kakao.com/product/11272804,7898a708245bcbc8d703b27d5a7ed5ceaa031c3bf660e8583b764c0ae7c45d5d,유아동/반려,키즈패션,닥스키즈,[롯데백화점]카고 스커트 (DUS12SA63M_BG),38700,,,,
https://gift.kakao.com/product/12091518,6e09edda0d4b14221e0edd3463a1bc5d6c1101f34f0dd6f8d3f320e219e50ae7,유아동/반려,키즈패션,아디다스(KIDS),[현대백화점] 아디다스키즈 돌선물 영유아보행기화 걸음마신발 삼바 크립 택1 JI2757/JI2758,42630,,,3.0,
https://gift.kakao.com/product/8031442,588d8dda99d13c5f563b8b69a2c2aa806a6a0e89a762e8af8f97bd268d78a948,유아동/반려,키즈패션,디엘프렌즈,[2+1] 수성네일 10ml 7종 어린이매니큐어 키즈네일 어린이네일세트,25800,,,25.0,
https://gift.kakao.com/product/11719448,510ca543697213794c96a228744ee896ab16201f3d01378f1c5152e928befc62,유아동/반려,키즈패션,벨리타앤보이즈,[갤러리아] BB하트스트라이프 민소매쇼츠상하복 BK5HST45NA,35100,,,9.0,
https://gift.kakao.com/product/2024029,5a67dd191df20519c26a95c4e74da419e0541d7458d2cd88eb7a1bb304b36a69,유아동/반려,키즈패션,채니봉봉,유아동 헤어핀 선물세트 12종 택1 (유아헤어핀),11500,96.0,74.0,1575.0,#선물포장
https://gift.kakao.com/product/11431358,7903bb2c6f18ef3aeff25a1c3df604c94af9928550a9e442cda1faa02005b82e,유아동/반려,키즈패션,닥스키즈,[롯데백화점]스트라이프 티셔츠(DUS12TR56M),34830,,,,
https://gift.kakao.com/product/11078562,5169ab359ef1df1d040b4eb12b91770e28eb9d82628e116f30aa54a1ed39e37d,유아동/반려,키즈패션,베네통키즈,[갤러리아] 베네통키즈(25S)플리츠피케원피스(QAOP17531/),31200,,,20.0,
https://gift.kakao.com/product/11610153,e5bb30084227a2f2cb1745aecbe38f8646a1b789b5b162f962873be849c762af,유아동/반려,키즈패션,케어베어(의류),"[출산선물/백일선물] ""출산선물/백일선물"" 출산/백일/돌선물 케어베어즈베이비오가닉바디수트모자2종 세트+선물쇼핑백",29900,100.0,11.0,103.0,
