top_category,sub_category,sub_tab,brand,product_name,price,satisfaction_pct,review_count,wish_count,tags,product_url
아티스트/캐릭터,스타앨범,전체,,Lysn 1인권,4500,,,6472.0,,https://gift.kakao.com/product/9136702
아티스트/캐릭터,스타앨범,전체,,bubble for STARSHIP 1인권,4500,,,1009.0,,https://gift.kakao.com/product/9133595
아티스트/캐릭터,스타앨범,전체,,DAY6(데이식스) 공식 라이트 밴드 VER3,49000,,,199.0,,https://gift.kakao.com/product/12021519
아티스트/캐릭터,스타앨범,전체,,bubble for JYPnation 1인권,4500,,,2229.0,,https://gift.kakao.com/product/9133597
아티스트/캐릭터,스타앨범,전체,,bubble for INB100 1인권,4500,,,149.0,,https://gift.kakao.com/product/9278168
아티스트/캐릭터,스타앨범,전체,,더보이즈 - 태닝 인형 (2종 세트) / THE BOYZ [THE BLAZE] WORLD TOUR in SEOUL,56000,,,47.0,,https://gift.kakao.com/product/12087064
아티스트/캐릭터,스타앨범,전체,,더보이즈 - 태닝 인형 / THE BOYZ [THE BLAZE] WORLD TOUR in SEOUL,31000,,,142.0,,https://gift.kakao.com/product/12087054
아티스트/캐릭터,스타앨범,전체,,bubble for ACTORS 1인권,4500,,,314.0,,https://gift.kakao.com/product/9133594
아티스트/캐릭터,스타앨범,전체,,bubble with STARS 1인권,4500,,,1903.0,,https://gift.kakao.com/product/9133596
아티스트/캐릭터,스타앨범,전체,,더보이즈 - 공식 응원봉 V2 + 건전지 / THE BOYZ [THE BLAZE] WORLD TOUR in SEOUL,50000,,,124.0,,https://gift.kakao.com/product/12066127
아티스트/캐릭터,스타앨범,전체,,ZEROBASEONE 제로니 코스튬 플러시,30000,,,673.0,,https://gift.kakao.com/product/11446155
아티스트/캐릭터,스타앨범,전체,,[특전증정/랜덤] DAY6 (데이식스) - [The DECADE],22300,,,127.0,,https://gift.kakao.com/product/12100602
아티스트/캐릭터,스타앨범,전체,,더보이즈 - 공식 응원봉 V2 + 위피 / THE BOYZ [THE BLAZE] WORLD TOUR in SEOUL,59000,,,40.0,,https://gift.kakao.com/product/12066123
