top_category,sub_category,sub_tab,price_range,brand,product_name,price,satisfaction_pct,review_count,wish_count,tags,product_url
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""레드와인"" 라스 페러디세스 말벡",25500,,,4.0,,https://gift.kakao.com/product/12071810
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""레드와인"" 모스퀴따 무레타 콘레도 콘피엘 데 로보 말벡",24500,,,4.0,,https://gift.kakao.com/product/12071812
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""화이트와인"" 루티니 데스티노 샤도네이",21000,,,,,https://gift.kakao.com/product/12071818
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""레드와인"" 루티니 데스티노 말벡",21000,,,3.0,,https://gift.kakao.com/product/12071817
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""레드와인"" 라 리오하나 보나르다 말벡",19300,,,3.0,,https://gift.kakao.com/product/12071814
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""화이트와인"" 쿠퍼스 크릭 소비뇽 블랑",27900,,,8.0,,https://gift.kakao.com/product/12050650
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""레드와인"" 샤또 드 꼴롬비에 보르도",29000,,,1.0,,https://gift.kakao.com/product/12037309
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""레드와인"" 에스쿠도로호골드컬렉션카베르네소비뇽",24000,,,2.0,,https://gift.kakao.com/product/12037308
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""로제와인"" 뱅베 라퐁 라 흐레브 호제+피크닉 패키지",54000,,,7.0,,https://gift.kakao.com/product/11653733
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""로제와인"" 스마일리로제 아이스버켓패키지",34500,,,174.0,,https://gift.kakao.com/product/11455598
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""로제와인"" 에스탕동 인솔랑스",24900,,,47.0,,https://gift.kakao.com/product/9667463
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""로제와인"" 무똥까데 로제 비오 마틸드",28800,,,36.0,,https://gift.kakao.com/product/9914158
와인/양주/전통주,와인,,~2만원대,브랜드명 :와인25플러스,"""로제와인"" 무똥까데 로제 비오 패키지",28800,,,92.0,,https://gift.kakao.com/product/10070754
